Rank,Country or area,UN continentalregion[4],UN statisticalregion[4],Population(1 July 2018)[5],Population(1 July 2019)[5],Change
—,World,—,—,"7,631,091,040","7,713,468,100",+1.1%
1,China[a],Asia,Eastern Asia,"1,427,647,786","1,433,783,686",+0.4%
2,India,Asia,Southern Asia,"1,352,642,280","1,366,417,754",+1.0%
3,United States,Americas,Northern America,"327,096,265","329,064,917",+0.6%
4,Indonesia,Asia,South-eastern Asia,"267,670,543","270,625,568",+1.1%
5,Pakistan,Asia,Southern Asia,"212,228,286","216,565,318",+2.0%
6,Brazil,Americas,South America,"209,469,323","211,049,527",+0.8%
7,Nigeria,Africa,Western Africa,"195,874,683","200,963,599",+2.6%
8,Bangladesh,Asia,Southern Asia,"161,376,708","163,046,161",+1.0%
9,Russia,Europe,Eastern Europe,"145,734,038","145,872,256",+0.1%
10,Mexico,Americas,Central America,"126,190,788","127,575,529",+1.1%
11,Japan,Asia,Eastern Asia,"127,202,192","126,860,301",−0.3%
12,Ethiopia,Africa,Eastern Africa,"109,224,414","112,078,730",+2.6%
13,Philippines,Asia,South-eastern Asia,"106,651,394","108,116,615",+1.4%
14,Egypt,Africa,Northern Africa,"98,423,598","100,388,073",+2.0%
15,Vietnam,Asia,South-eastern Asia,"95,545,962","96,462,106",+1.0%
16,Democratic Republic of the Congo,Africa,Middle Africa,"84,068,091","86,790,567",+3.2%
17,Germany,Europe,Western Europe,"83,124,418","83,517,045",+0.5%
18,Turkey,Asia,Western Asia,"82,340,088","83,429,615",+1.3%
19,Iran,Asia,Southern Asia,"81,800,188","82,913,906",+1.4%
20,Thailand,Asia,South-eastern Asia,"68,863,514","69,037,513",+0.3%
21,United Kingdom,Europe,Northern Europe,"67,141,684","67,530,172",+0.6%
22,France[b],Europe,Western Europe,"64,990,511","65,129,728",+0.2%
23,Italy,Europe,Southern Europe,"60,627,291","60,550,075",−0.1%
24,South Africa,Africa,Southern Africa,"57,792,518","58,558,270",+1.3%
25,Tanzania[c],Africa,Eastern Africa,"56,313,438","58,005,463",+3.0%
26,Myanmar,Asia,South-eastern Asia,"53,708,320","54,045,420",+0.6%
27,Kenya,Africa,Eastern Africa,"51,392,565","52,573,973",+2.3%
28,South Korea,Asia,Eastern Asia,"51,171,706","51,225,308",+0.1%
29,Colombia,Americas,South America,"49,661,048","50,339,443",+1.4%
30,Spain[d],Europe,Southern Europe,"46,692,858","46,736,776",+0.1%
31,Argentina,Americas,South America,"44,361,150","44,780,677",+0.9%
32,Uganda,Africa,Eastern Africa,"42,729,036","44,269,594",+3.6%
33,Ukraine[e],Europe,Eastern Europe,"44,246,156","43,993,638",−0.6%
34,Algeria,Africa,Northern Africa,"42,228,408","43,053,054",+2.0%
35,Sudan,Africa,Northern Africa,"41,801,533","42,813,238",+2.4%
36,Iraq,Asia,Western Asia,"38,433,600","39,309,783",+2.3%
37,Afghanistan,Asia,Southern Asia,"37,171,921","38,041,754",+2.3%
38,Poland,Europe,Eastern Europe,"37,921,592","37,887,768",−0.1%
39,Canada,Americas,Northern America,"37,074,562","37,411,047",+0.9%
40,Morocco,Africa,Northern Africa,"36,029,093","36,471,769",+1.2%
41,Saudi Arabia,Asia,Western Asia,"33,702,756","34,268,528",+1.7%
42,Uzbekistan,Asia,Central Asia,"32,476,244","32,981,716",+1.6%
43,Peru,Americas,South America,"31,989,260","32,510,453",+1.6%
44,Malaysia[f],Asia,South-eastern Asia,"31,528,033","31,949,777",+1.3%
45,Angola,Africa,Middle Africa,"30,809,787","31,825,295",+3.3%
46,Mozambique,Africa,Eastern Africa,"29,496,004","30,366,036",+2.9%
47,Yemen,Asia,Western Asia,"28,498,683","29,161,922",+2.3%
48,Ghana,Africa,Western Africa,"28,206,728","28,833,629",+2.2%
49,Nepal,Asia,Southern Asia,"28,095,714","28,608,710",+1.8%
50,Venezuela,Americas,South America,"28,887,118","28,515,829",−1.3%
51,Madagascar,Africa,Eastern Africa,"26,262,313","26,969,307",+2.7%
52,North Korea,Asia,Eastern Asia,"25,549,604","25,666,161",+0.5%
53,Ivory Coast,Africa,Western Africa,"25,069,230","25,716,544",+2.6%
